Mesure complète MiCS6814 + BME690 + SCD41 + SDS011
Date: 2026-03-27 22:17:47
RED_R0=393643.25
OX_R0=12887.26
NH3_R0=144596.18

118s | CO:4.099544234128586 | NO2:0.17615958405534235 | NH3:0.5334450072269432 | CO2:1266 | T:20.72 | H:43.327 | P:1017.56 | GAS:4905.3 | PM25:4.0 | PM10:9.9
119s | CO:3.898830679866057 | NO2:0.18618099726311954 | NH3:0.4646947026444827 | CO2:1266 | T:20.68 | H:42.499 | P:1017.57 | GAS:4900.9 | PM25:4.0 | PM10:9.7
121s | CO:3.957459137037428 | NO2:0.1875173341268833 | NH3:0.4535153464239656 | CO2:1266 | T:20.65 | H:41.91 | P:1017.6 | GAS:4918.6 | PM25:3.9 | PM10:9.8
122s | CO:3.957459137037428 | NO2:0.1880530396305923 | NH3:0.46019985022584176 | CO2:1266 | T:20.63 | H:41.484 | P:1017.63 | GAS:4909.7 | PM25:3.9 | PM10:9.4
123s | CO:3.9457064891061258 | NO2:0.19128140558698972 | NH3:0.4425271520893706 | CO2:1196 | T:20.6 | H:41.032 | P:1017.66 | GAS:4905.3 | PM25:3.8 | PM10:9.0
124s | CO:3.9339673238656014 | NO2:0.19453419801972818 | NH3:0.42427850318036625 | CO2:1196 | T:20.57 | H:40.904 | P:1017.7 | GAS:4936.4 | PM25:3.8 | PM10:9.1
125s | CO:3.8754735831764675 | NO2:0.20305228207684928 | NH3:0.38539359052982614 | CO2:1196 | T:20.53 | H:40.687 | P:1017.72 | GAS:4940.8 | PM25:3.8 | PM10:9.1
126s | CO:3.910529423651838 | NO2:0.20139052355849463 | NH3:0.40145084358712757 | CO2:1196 | T:20.49 | H:40.421 | P:1017.76 | GAS:4945.3 | PM25:3.8 | PM10:9.1
127s | CO:3.8871454011461797 | NO2:0.20695451834172887 | NH3:0.37850984579912456 | CO2:1196 | T:20.46 | H:40.368 | P:1017.81 | GAS:4923.0 | PM25:3.7 | PM10:8.4
128s | CO:3.840538851158105 | NO2:0.20779526217573205 | NH3:0.37364487999320123 | CO2:1127 | T:20.42 | H:40.351 | P:1017.88 | GAS:4940.8 | PM25:3.7 | PM10:8.4
129s | CO:3.7710322612495446 | NO2:0.21287383133657134 | NH3:0.3546121009021369 | CO2:1127 | T:20.37 | H:40.146 | P:1017.94 | GAS:4995.1 | PM25:3.7 | PM10:6.9
130s | CO:3.817316256087034 | NO2:0.21916147907554953 | NH3:0.3380556832137202 | CO2:1127 | T:20.32 | H:40.029 | P:1017.98 | GAS:4990.5 | PM25:3.7 | PM10:7.0
131s | CO:3.817316256087034 | NO2:0.216292372611827 | NH3:0.35088648191144006 | CO2:1127 | T:20.27 | H:40.073 | P:1018.03 | GAS:4995.1 | PM25:3.8 | PM10:7.4
132s | CO:3.7594948214976514 | NO2:0.22147019569421209 | NH3:0.333551190293928 | CO2:1127 | T:20.23 | H:40.056 | P:1018.1 | GAS:4986.0 | PM25:3.8 | PM10:7.4
133s | CO:3.724962981070071 | NO2:0.22437303410417422 | NH3:0.32290546820741906 | CO2:1034 | T:20.18 | H:39.989 | P:1018.16 | GAS:4990.5 | PM25:3.8 | PM10:7.6
134s | CO:3.6905517788273037 | NO2:0.23082641389651845 | NH3:0.30314109077509277 | CO2:1034 | T:20.13 | H:40.021 | P:1018.22 | GAS:5018.0 | PM25:3.7 | PM10:7.5
136s | CO:3.7941474035552436 | NO2:0.22641631349754807 | NH3:0.32378377442477524 | CO2:1034 | T:20.08 | H:40.103 | P:1018.29 | GAS:5022.6 | PM25:3.7 | PM10:7.4
137s | CO:3.7710322612495446 | NO2:0.2284689657321758 | NH3:0.3194081975086922 | CO2:1034 | T:20.05 | H:40.187 | P:1018.36 | GAS:5027.3 | PM25:3.8 | PM10:7.4
138s | CO:3.7710322612495446 | NO2:0.23023589093217398 | NH3:0.3124897974533126 | CO2:1034 | T:20.0 | H:40.169 | P:1018.43 | GAS:5045.8 | PM25:3.9 | PM10:7.3
139s | CO:3.7594948214976514 | NO2:0.2323061218180333 | NH3:0.30821696598270865 | CO2:1031 | T:19.93 | H:40.136 | P:1018.49 | GAS:5092.9 | PM25:3.8 | PM10:7.2
140s | CO:3.6905517788273037 | NO2:0.23977830316025484 | NH3:0.28743344763310574 | CO2:1031 | T:19.87 | H:40.13 | P:1018.54 | GAS:5083.4 | PM25:3.8 | PM10:6.8
141s | CO:3.724962981070071 | NO2:0.23617624751996222 | NH3:0.29812100358649973 | CO2:1031 | T:19.81 | H:40.161 | P:1018.6 | GAS:5092.9 | PM25:3.9 | PM10:7.3
142s | CO:3.7134791810988923 | NO2:0.2370740804425426 | NH3:0.29397989678459957 | CO2:1031 | T:19.75 | H:40.242 | P:1018.66 | GAS:5116.8 | PM25:4.0 | PM10:7.4
143s | CO:3.7020087815900653 | NO2:0.23827396668466616 | NH3:0.28987697535897516 | CO2:1031 | T:19.7 | H:40.274 | P:1018.72 | GAS:5112.0 | PM25:4.1 | PM10:7.3
144s | CO:3.6905517788273037 | NO2:0.2461514022725734 | NH3:0.2738421861540363 | CO2:1026 | T:19.66 | H:40.444 | P:1018.79 | GAS:5102.4 | PM25:4.1 | PM10:7.3
