Mesures MiCS-6814 + SDS011
Date: 2026-03-10 00:14:51
SDS011: /dev/ttyUSB0

71s | CO_V:0.024375V NH3_V:0.577875V CH4_V:0.017250V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:20.5ug/m3
72s | CO_V:0.024125V NH3_V:0.577875V CH4_V:0.017500V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:20.4ug/m3
73s | CO_V:0.024625V NH3_V:0.578000V CH4_V:0.017250V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:20.3ug/m3
74s | CO_V:0.024750V NH3_V:0.578250V CH4_V:0.017250V | CO:0.19ppm NH3:36.21ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:20.1ug/m3
75s | CO_V:0.024375V NH3_V:0.577875V CH4_V:0.017250V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:20.0ug/m3
76s | CO_V:0.024625V NH3_V:0.578625V CH4_V:0.017375V | CO:0.18ppm NH3:36.25ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:20.0ug/m3
77s | CO_V:0.024125V NH3_V:0.578000V CH4_V:0.017250V | CO:0.18ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:19.7ug/m3
78s | CO_V:0.024125V NH3_V:0.578625V CH4_V:0.017375V | CO:0.18ppm NH3:36.25ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:19.6ug/m3
79s | CO_V:0.024000V NH3_V:0.578375V CH4_V:0.017375V | CO:0.18ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:11.9ug/m3 PM10:19.7ug/m3
80s | CO_V:0.023750V NH3_V:0.578125V CH4_V:0.017500V | CO:0.17ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.9ug/m3 PM10:19.7ug/m3
81s | CO_V:0.023625V NH3_V:0.578000V CH4_V:0.017250V | CO:0.17ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.9ug/m3 PM10:20.5ug/m3
82s | CO_V:0.024750V NH3_V:0.577875V CH4_V:0.017125V | CO:0.19ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:20.0ug/m3
83s | CO_V:0.023375V NH3_V:0.578750V CH4_V:0.017375V | CO:0.17ppm NH3:36.26ppm CH4:0.06ppm | PM2.5:11.9ug/m3 PM10:20.3ug/m3
84s | CO_V:0.024500V NH3_V:0.578125V CH4_V:0.017625V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.9ug/m3 PM10:19.9ug/m3
85s | CO_V:0.024375V NH3_V:0.578250V CH4_V:0.017250V | CO:0.18ppm NH3:36.21ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:19.7ug/m3
